,cust_id,cust_name,cust_state,budget,timestamp
0,1,Carla Little,entrance,420,11:01
1,1,Carla Little,spices,417,11:02
2,2,Kevin Smith,entrance,435,11:02
3,1,Carla Little,spices,414,11:03
4,2,Kevin Smith,spices,432,11:03
5,3,Joshua Sanchez,entrance,276,11:03
6,1,Carla Little,spices,411,11:04
7,2,Kevin Smith,spices,429,11:04
8,3,Joshua Sanchez,dairy,271,11:04
9,4,Bryan Rodriguez,entrance,176,11:04
10,1,Carla Little,dairy,406,11:05
11,2,Kevin Smith,spices,426,11:05
12,3,Joshua Sanchez,checkout,271,11:05
13,4,Bryan Rodriguez,drinks,170,11:05
14,5,Robert Miller,entrance,426,11:05
15,1,Carla Little,dairy,401,11:06
16,2,Kevin Smith,spices,423,11:06
17,4,Bryan Rodriguez,drinks,164,11:06
18,5,Robert Miller,dairy,421,11:06
19,6,Laura Horn,entrance,66,11:06
20,1,Carla Little,dairy,396,11:07
21,2,Kevin Smith,dairy,418,11:07
22,4,Bryan Rodriguez,drinks,158,11:07
23,5,Robert Miller,dairy,416,11:07
24,6,Laura Horn,spices,63,11:07
25,7,Fernando Thomas,entrance,189,11:07
26,1,Carla Little,dairy,391,11:08
27,2,Kevin Smith,fruit,414,11:08
28,4,Bryan Rodriguez,fruit,154,11:08
29,5,Robert Miller,dairy,411,11:08
30,6,Laura Horn,spices,60,11:08
31,7,Fernando Thomas,fruit,185,11:08
32,8,James Burnett,entrance,8,11:08
33,1,Carla Little,dairy,386,11:09
34,2,Kevin Smith,checkout,414,11:09
35,4,Bryan Rodriguez,dairy,149,11:09
36,5,Robert Miller,dairy,406,11:09
37,6,Laura Horn,spices,57,11:09
38,7,Fernando Thomas,fruit,181,11:09
39,8,James Burnett,dairy,3,11:09
40,9,David Mclaughlin,entrance,208,11:09
